Name,Region,Meal_Type,Diet_Type,Calories,Protein,Carbs,Fats
Puri Bhaji,North India,Breakfast,Weight Gain,511,10,60,24
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,564,27,72,20
Stuffed Capsicum with Raita,North India,Dinner,Balanced,330,11,46,10
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,550,38,60,21
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,467,55,9,13
Gujarati Thali,West India,Lunch,Weight Gain,672,16,90,27
Chicken Biryani,North India,Dinner,Weight Gain,609,36,67,22
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,179,7,20,7
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,460,50,34,11
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,498,16,68,19
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,460,9,60,18
Vegetable Dalma,East India,Lunch,Weight Loss,320,10,47,6
Puran Poli with Amti,West India,Lunch,Balanced,426,11,75,14
Puttu with Kadala Curry,South India,Breakfast,Balanced,308,13,45,8
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,136,4,14,5
Thekua with Masala Chai,East India,Breakfast,Balanced,281,6,41,8
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,367,11,47,8
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,287,10,35,7
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,397,42,25,12
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,119,3,25,1
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,398,26,41,8
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,305,10,48,6
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,90,1,20,1
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,292,27,6,10
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,385,43,32,10
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,530,35,52,21
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,164,1,34,1
Fish Recheado with Rice,West India,Dinner,Weight Gain,532,29,56,20
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,175,4,33,4
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,373,29,24,24
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,156,1,33,1
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,198,7,34,6
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,233,12,31,6
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,138,7,22,1
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,180,8,26,5
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,205,12,22,6
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,144,4,25,2
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,377,40,25,15
Chicken Sukka with Naan,West India,Lunch,Weight Gain,640,38,62,26
Vegetable Poha,North India,Breakfast,Weight Loss,201,4,36,3
Dal Shorba with Roti,North India,Dinner,Weight Loss,219,10,30,4
Mutton Rezala with Roti,East India,Dinner,Weight Gain,531,30,46,25
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,204,6,34,5
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,608,44,43,21
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,567,12,70,21
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,346,10,53,4
Brown Rice with Rajma,North India,Lunch,Weight Loss,370,14,61,6
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,721,32,67,28
Rajma Chawal,North India,Lunch,Balanced,487,14,65,10
Vegetable Dalma,East India,Lunch,Weight Loss,281,10,51,6
Misal Pav with Butter,West India,Breakfast,Weight Gain,535,17,65,22
Kadhi Pakora with Rice,North India,Dinner,Balanced,397,11,61,13
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,135,8,27,1
Fish Fry with Rice and Dal,East India,Dinner,Balanced,411,26,59,14
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,158,4,34,5
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,601,19,75,26
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,187,5,44,1
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,385,43,32,12
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,253,7,35,6
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,244,8,38,6
Mutton Biryani,North India,Lunch,Weight Gain,734,35,67,28
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,284,6,27,14
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,443,11,57,19
Fish Curry with White Rice,South India,Lunch,Weight Gain,512,29,60,18
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,548,37,60,20
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,618,21,73,22
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,607,48,44,19
Moong Dal Chilla,North India,Breakfast,Weight Loss,227,11,27,5
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,187,4,38,5
Mutton Rezala with Roti,East India,Dinner,Weight Gain,590,31,42,26
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,481,10,64,16
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,251,8,46,6
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,264,26,6,11
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,195,6,37,5
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,145,2,30,1
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,187,13,14,8
Oats Idli with Sambar,North India,Breakfast,Weight Loss,232,7,37,4
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,394,23,44,8
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,338,17,31,15
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,409,60,10,12
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,308,11,47,5
Fish Fry with Rice and Dal,East India,Dinner,Balanced,457,28,50,13
Rajma Chawal,North India,Lunch,Balanced,434,17,72,9
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,447,19,53,22
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,197,11,26,6
Vegetable Daliya,Pan India,Dinner,Health & Wellness,201,6,42,4
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,310,8,46,7
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,338,21,44,8
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,170,7,19,6
Rava Idli with Chutney,South India,Breakfast,Weight Gain,426,10,58,15
Lemon Rice with Curd,South India,Dinner,Balanced,446,7,62,10
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,563,15,67,24
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,392,32,25,17
South Indian Thali,South India,Lunch,Balanced,541,15,71,10
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,396,43,32,12
Egg Curry with Rice,South India,Dinner,Weight Gain,544,30,64,21
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,393,10,56,9
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,201,7,39,5
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,353,27,2,21
Misal Pav with Butter,West India,Breakfast,Weight Gain,611,17,76,20
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,195,12,13,8
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,426,44,37,10
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,481,16,46,19
Oats Idli with Sambar,North India,Breakfast,Weight Loss,231,8,37,5
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,200,8,22,7
Puri Bhaji,North India,Breakfast,Weight Gain,450,11,57,22
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,196,8,35,3
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,297,7,44,7
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,213,7,28,6
Crab Masala with Rice,South India,Dinner,Weight Gain,640,33,58,20
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,312,7,47,8
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,288,8,46,8
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,685,39,73,23
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,234,8,39,6
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,357,10,60,10
Curd Rice with Pickle,South India,Dinner,Balanced,317,9,57,8
Crab Masala with Rice,South India,Dinner,Weight Gain,645,31,62,22
Kadhi Pakora with Rice,North India,Dinner,Balanced,405,13,60,14
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,253,11,36,8
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,225,12,24,6
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,339,9,49,6
Fish Recheado with Rice,West India,Dinner,Weight Gain,595,31,64,23
Batata Vada with Pav,West India,Breakfast,Weight Gain,570,9,72,24
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,717,33,67,25
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,278,10,43,7
Kootu with Brown Rice,South India,Lunch,Weight Loss,330,10,55,6
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,600,22,65,17
Mutton Korma with Roti,North India,Dinner,Weight Gain,479,27,40,23
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,567,33,61,18
Tomato Shorba with Roti,East India,Dinner,Weight Loss,192,5,30,4
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,185,5,37,5
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,276,9,41,6
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,640,32,58,26
South Indian Thali,South India,Lunch,Balanced,518,14,79,12
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,98,1,24,1
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,222,12,28,5
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,287,8,37,8
Oats Idli with Sambar,North India,Breakfast,Weight Loss,262,7,40,5
Lemon Rice with Curd,South India,Dinner,Balanced,408,7,71,11
Dal Fry with Jeera Rice,North India,Dinner,Balanced,407,13,65,9
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,194,5,32,7
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,503,43,41,13
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,276,7,45,7
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,715,34,63,26
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,471,38,61,14
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,356,12,47,9
Brown Rice with Rajma,North India,Lunch,Weight Loss,337,14,58,6
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,303,14,39,8
Thepla with Curd,West India,Breakfast,Balanced,320,10,39,12
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,638,39,64,27
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,243,4,44,7
Aamras with Puri,West India,Breakfast,Weight Gain,554,8,71,19
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,357,24,39,9
Lemon Rice with Curd,South India,Dinner,Balanced,361,7,63,9
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,359,15,43,7
Mutton Rezala with Roti,East India,Dinner,Weight Gain,604,34,45,27
Idli with Sambar,South India,Dinner,Weight Loss,176,7,33,2
Stuffed Capsicum with Raita,North India,Dinner,Balanced,362,12,44,11
South Indian Thali,South India,Lunch,Balanced,472,14,67,11
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,211,1,43,1
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,674,41,78,27
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,539,47,37,18
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,412,33,41,5
Vegetable Daliya,Pan India,Dinner,Health & Wellness,209,6,41,4
Kanda Poha,West India,Breakfast,Weight Loss,268,6,41,6
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,363,16,29,15
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,504,13,57,23
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,350,14,43,7
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,265,8,42,8
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,302,11,53,5
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,332,9,66,5
Mutton Korma with Roti,North India,Dinner,Weight Gain,470,29,35,24
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,443,30,28,17
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,258,8,45,6
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,356,31,12,21
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,325,8,35,11
Puran Poli with Amti,West India,Lunch,Balanced,490,12,68,15
Dalma with Rice,East India,Lunch,Balanced,428,14,59,10
Rice with Mutton Kosha,East India,Lunch,Weight Gain,709,34,82,30
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,673,30,63,25
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,251,12,28,12
Vegetable Poha,North India,Breakfast,Weight Loss,210,5,41,3
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,418,33,22,19
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,762,44,64,30
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,467,44,31,10
Mutton Rezala with Roti,East India,Dinner,Weight Gain,607,29,49,24
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,320,8,43,11
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,285,9,42,7
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,275,16,46,8
Luchi with Alur Dom,East India,Breakfast,Weight Gain,528,8,63,21
Gujarati Thali,West India,Lunch,Weight Gain,768,17,102,22
Bisi Bele Bath,South India,Lunch,Balanced,451,13,71,11
Crab Masala with Rice,South India,Dinner,Weight Gain,654,35,63,19
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,659,39,56,26
Batata Vada with Pav,West India,Breakfast,Weight Gain,541,10,68,19
Bisi Bele Bath,South India,Lunch,Balanced,469,13,73,11
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,183,7,27,5
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,574,12,66,17
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,599,24,63,19
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,411,27,25,18
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,166,11,16,7
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,180,4,31,5
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,285,27,5,12
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,400,38,45,4
South Indian Thali,South India,Lunch,Balanced,483,14,66,12
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,436,43,9,26
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,531,19,68,25
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,465,19,53,22
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,436,10,60,15
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,231,2,59,1
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,678,32,66,26
Rajma Chawal,North India,Lunch,Balanced,461,16,64,10
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,280,10,39,7
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,638,35,76,26
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,365,10,53,10
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,318,9,49,9
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,514,11,55,22
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,637,35,69,25
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,367,21,46,8
Dal Shorba with Roti,North India,Dinner,Weight Loss,220,9,32,4
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,533,25,66,18
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,461,14,64,11
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,405,16,57,12
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,120,3,19,2
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,339,38,14,16
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,220,13,24,6
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,300,13,29,12
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,472,13,69,12
Sol Kadhi with Rice,West India,Dinner,Weight Loss,286,7,38,7
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,222,7,38,4
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,441,45,39,12
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,543,15,71,18
Shrikhand Puri,West India,Breakfast,Weight Gain,568,12,70,21
Brown Rice with Rajma,North India,Lunch,Weight Loss,421,14,64,7
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,471,15,57,13
Gujarati Thali,West India,Lunch,Weight Gain,652,16,103,24
Mutton Rezala with Roti,East India,Dinner,Weight Gain,604,34,46,23
Dal Fry with Jeera Rice,North India,Dinner,Balanced,444,11,65,11
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,323,10,63,4
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,436,9,61,16
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,296,10,42,6
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,346,32,1,20
Egg Biryani,East India,Lunch,Weight Gain,551,28,62,24
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,388,39,13,15
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,229,20,9,13
Kootu with Brown Rice,South India,Lunch,Weight Loss,330,9,46,5
Aamras with Puri,West India,Breakfast,Weight Gain,587,8,73,18
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,712,41,64,26
Vegetable Upma,South India,Dinner,Weight Loss,198,5,33,5
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,166,2,32,1
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,531,27,66,15
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,244,4,36,8
Fish Curry with White Rice,South India,Lunch,Weight Gain,525,31,54,15
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,420,57,10,12
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,165,2,36,1
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,304,10,48,5
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,610,31,54,18
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,294,15,38,5
Aamti with Rice,West India,Lunch,Weight Loss,323,9,54,6
Thekua with Masala Chai,East India,Breakfast,Balanced,304,6,49,10
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,312,14,41,5
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,471,12,66,21
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,451,37,63,16
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,95,1,22,1
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,176,9,28,2
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,300,8,39,7
Upma with Vegetables,North India,Breakfast,Weight Loss,199,6,37,4
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,489,42,48,11
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,224,2,64,1
Fish Fry with Rice and Dal,East India,Dinner,Balanced,450,23,53,12
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,526,48,35,20
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,466,38,30,13
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,133,3,26,1
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,266,9,33,7
Puttu with Kadala Curry,South India,Breakfast,Balanced,348,16,53,8
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,276,14,33,11
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,216,2,41,1
Fish Recheado with Rice,West India,Dinner,Weight Gain,555,28,61,22
Tomato Shorba with Roti,East India,Dinner,Weight Loss,213,5,31,4
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,231,8,35,11
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,274,9,44,7
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,249,8,46,6
Kootu with Brown Rice,South India,Lunch,Weight Loss,285,10,53,6
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,368,35,13,13
Puttu with Kadala Curry,South India,Breakfast,Balanced,322,14,46,7
Egg Curry with Rice,South India,Dinner,Weight Gain,510,28,64,17
Egg Biryani,East India,Lunch,Weight Gain,646,27,67,20
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,274,3,60,1
Vegetable Dalma,East India,Lunch,Weight Loss,289,9,51,5
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,291,5,33,15
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,428,9,68,16
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,572,35,60,26
Dal Dhokli,West India,Lunch,Balanced,359,12,64,13
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,405,42,40,12
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,307,9,44,8
Fish Recheado with Rice,West India,Dinner,Weight Gain,608,31,64,22
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,357,15,41,7
Vegetable Poha,North India,Breakfast,Weight Loss,207,4,37,3
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,208,8,23,6
Rajma Chawal,North India,Lunch,Balanced,500,17,60,10
Egg Curry with Rice,South India,Dinner,Weight Gain,599,27,51,18
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,319,36,14,13
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,185,7,24,7
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,282,6,27,13
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,250,19,9,12
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,176,3,37,4
Kadhi Pakora with Rice,North India,Dinner,Balanced,464,12,66,14
Millet Sambar Rice,South India,Lunch,Weight Loss,398,12,55,6
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,438,27,26,19
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,676,40,71,26
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,209,7,30,6
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,152,7,26,1
Batata Vada with Pav,West India,Breakfast,Weight Gain,563,11,76,20
Lemon Rice with Curd,South India,Dinner,Balanced,372,7,70,10
Puttu with Kadala Curry,South India,Breakfast,Balanced,376,15,49,8
Kadhi Pakora with Rice,North India,Dinner,Balanced,418,10,64,14
South Indian Thali,South India,Lunch,Balanced,555,16,81,12
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,480,15,55,21
Chicken Biryani,North India,Dinner,Weight Gain,574,33,70,24
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,249,2,66,1
Rava Idli with Chutney,South India,Breakfast,Weight Gain,390,9,53,17
Dalma with Rice,East India,Lunch,Balanced,470,13,59,9
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,122,3,19,1
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,484,12,64,19
Moong Dal Chilla,North India,Breakfast,Weight Loss,225,13,32,6
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,312,9,45,7
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,492,10,59,18
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,579,32,60,16
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,398,42,9,23
Pesarattu with Ginger Chutney,South India,Breakfast,Weight Loss,224,11,32,4
Dal Fry with Jeera Rice,North India,Dinner,Balanced,375,12,63,9
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,162,12,15,8
Shrikhand Puri,West India,Breakfast,Weight Gain,579,11,68,22
Fish Recheado with Rice,West India,Dinner,Weight Gain,603,31,53,23
Rice with Mutton Kosha,East India,Lunch,Weight Gain,750,39,83,31
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,317,19,29,14
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,436,13,63,12
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,248,6,45,3
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,191,2,47,1
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,254,2,53,1
Fish Curry with White Rice,South India,Lunch,Weight Gain,600,32,65,18
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,516,11,66,21
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,217,7,32,4
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,252,9,39,7
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,283,7,40,7
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,266,7,42,7
Rice with Mutton Kosha,East India,Lunch,Weight Gain,692,39,79,31
Luchi with Alur Dom,East India,Breakfast,Weight Gain,520,7,65,20
Puttu with Kadala Curry,South India,Breakfast,Balanced,343,16,45,8
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,203,6,23,6
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,146,1,34,1
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,399,12,63,9
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,296,8,43,6
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,570,32,61,19
Oats Idli with Sambar,North India,Breakfast,Weight Loss,262,8,38,4
